Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,MtCO2e,3.93,4.03,4.83,5.11,5.43,6.35,6.19,6.55,8.29,8.2,9.42,9.81,10.47,10.54,10.75,11.52,11.51,12.41,11.24,11.85,11.45,11.74,12.15,13.01,13.95,16.34,17.46,16.51,18.21
Guinea,MtCO2e,1,1.02,1.05,1.08,1.12,1.16,1.23,1.29,1.36,1.43,1.49,1.57,1.63,1.7,1.77,1.83,1.9,1.98,2.01,2.12,2.5,2.62,2.48,2.18,2.24,2.54,2.83,2.97,3.12
Guinea-Bissau,MtCO2e,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.2,0.17,0.19,0.15,0.15,0.15,0.2,0.2,0.21,0.22,0.23,0.22,0.23,0.24,0.25,0.25,0.26,0.28,0.28,0.3,0.3,0.31
Guyana,MtCO2e,1.18,1.15,1.08,1.09,1.41,1.53,1.58,1.72,1.75,1.74,1.66,1.64,1.62,1.62,1.67,1.48,1.33,1.6,1.6,1.62,1.76,1.83,2,1.98,2.06,2.05,2.31,2.32,2.44
Haiti,MtCO2e,1.02,1,0.9,0.7,0.19,0.9,1.06,1.27,1.31,1.38,1.47,1.6,1.83,1.81,1.67,1.71,1.72,2.04,2.03,1.99,2.46,2.8,2.5,2.73,3.06,3.32,3.4,3.37,3.33
Honduras,MtCO2e,2.46,2.46,2.74,2.91,3.27,3.88,3.93,4.07,4.71,4.78,5.04,5.85,6.13,6.77,7.61,7.03,8.03,8.61,8.65,8.15,8.21,8.78,9.14,9.34,9.46,9.87,9.4,9,9.77
Hungary,MtCO2e,67.42,64.55,58,58.38,57.78,57.43,58.45,56.99,57.35,57.91,54.63,56.3,55.63,58.23,56.39,55.96,55.46,53.86,53.03,47.84,47.88,46.91,43.43,40.76,40.63,43.38,44.48,46.55,46.39
Iceland,MtCO2e,1.95,1.91,1.95,1.98,2.09,2,2.27,2.15,2.15,2.12,2.23,2.16,2.24,2.23,2.32,2.29,2.33,2.38,2.18,2.11,1.96,1.89,1.86,2.03,2.05,2.06,2.06,2.17,2.2
India,MtCO2e,562.48,607.34,630.26,652.47,687.95,741.1,776.72,821.48,839.83,904.09,940.17,953.88,987.53,1015.89,1087.19,1137.74,1214.25,1336.1,1423.88,1568.53,1665.31,1760.8,1908.57,1966.81,2136.87,2150.22,2183.28,2301.44,2434.52
Indonesia,MtCO2e,147.99,161.84,170.91,185.48,196.93,222.84,234.48,257.67,261.14,278.99,280.17,301.83,306.06,335.37,343.16,344.4,364.1,379.98,377.18,394.49,416.94,480.46,486.75,454.32,490.05,490.84,494.98,532.92,583.11
Iran,MtCO2e,179.24,217.67,233.4,231.28,261.18,272.4,280.24,291.41,292.83,326.41,340.75,351.01,368.72,390.68,419.71,451.2,490.77,523.74,534.09,551.43,550.89,561.73,571.12,592.48,610.67,602.23,605.76,620.78,629.29
Iraq,MtCO2e,64.85,46.77,67.39,88.77,99.73,96.1,98.22,115.79,81.46,64.61,74.57,84.3,79.41,72.08,75.29,88.23,83.89,77.47,86.04,107.52,120.23,131.03,151.86,162.55,168.84,162.19,172.35,174.29,188.14
Ireland,MtCO2e,31,31.51,31.59,31.72,32.91,33.52,34.98,36.15,38.67,40.28,42.62,44.91,44.04,44.22,44.86,46.78,47.81,47.02,46.35,41.02,40.63,36.36,37.1,35.72,35.55,36.99,38.7,37.53,37.11
Israel,MtCO2e,33.8,34.52,36.86,40.5,43.36,46.77,48.73,50.97,51.5,52.98,57,57.95,61.08,62.89,63.16,60.99,64.33,66.59,66.7,65.72,70.51,69.82,76.06,67,64.71,66.14,65.26,66.04,61.97
Italy,MtCO2e,405.26,404.07,402.27,396.93,392.29,416.42,412.15,415.52,426.37,433.01,436.3,436.57,443.47,462.2,472.4,473.83,466.65,459.37,444.98,397.06,405.27,396.69,376.75,346.45,327.49,337.86,333.34,329.19,324.85
Jamaica,MtCO2e,7.47,7.4,8.15,8.32,8.38,8.68,9.04,9.2,9.72,9.98,10.06,10.08,10.25,10.59,10.57,10.56,12.06,12.02,9.62,7.88,7.48,7.6,7.11,7.58,7.4,7.29,7.75,7.19,8.51
Japan,MtCO2e,1092.56,1105.66,1117.47,1109.66,1162.94,1172.79,1186.23,1173.99,1131.25,1165.89,1182.95,1170.62,1206.97,1215.78,1211.09,1213.82,1190.26,1226.36,1159.62,1101.21,1156.08,1212.16,1252.22,1260.9,1219.82,1181.49,1171.39,1151.93,1106.15
Jordan,MtCO2e,9.93,9.78,11.92,12.2,12.99,13.6,13.87,14.37,14.61,14.63,16.27,16.25,16.87,17.31,18.58,19.87,20.17,21.09,20.01,20.66,20.2,20.76,24.12,23.8,25.59,25.36,24.86,26.1,24.7
Kazakhstan,MtCO2e,237.57,247.53,255.65,218.35,196.06,172.48,149.9,126.81,130.32,118.25,114.68,111.87,121.46,136.3,150.22,162.48,180.21,189.11,232.01,204.22,223.56,242.19,241.49,256.34,205.23,206.64,223.02,225.56,220.45
Kenya,MtCO2e,6.14,5.89,5.95,5.86,5.87,6.37,6.97,6.64,7.16,7.49,8.23,7.61,7.42,6.53,7.43,8.33,9.3,9.37,9.91,11.71,12.64,13.03,12.13,14.1,15.03,17.09,18.77,18.89,18.4
Kiribati,MtCO2e,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.08
Kuwait,MtCO2e,29.25,35.75,23.01,29.26,33.75,33.8,32.94,34.05,39.89,43.73,47.17,50.82,53.39,55.63,59.49,67.25,69.67,68.74,72.91,75.04,78.25,81.16,83.59,85.26,83.58,88.04,89.88,89.72,89.46
Kyrgyzstan,MtCO2e,22.76,20.42,13.8,10.11,6.55,4.6,5.77,5.69,6.03,4.79,4.67,3.97,4.97,5.59,5.56,5.3,5.32,6.47,7.51,6.76,6.35,7.62,10.06,9.38,9.71,10.27,9.7,9.34,11
Laos,MtCO2e,0.51,0.55,0.59,0.61,0.63,0.67,0.75,0.79,0.82,0.85,0.9,1,1.11,1.15,1.21,1.26,1.64,1.73,2.05,2.54,2.88,3.04,3.27,3.91,4.42,8.66,15.36,18.51,18.79
Latvia,MtCO2e,18.78,17.2,13.97,11.76,10.22,9,9.01,8.53,8.13,7.55,6.93,7.36,7.35,7.59,7.62,7.72,8.2,8.53,8.11,7.36,8.52,7.9,7.57,7.45,7.28,7.32,7.15,7.12,7.63
Lebanon,MtCO2e,5.62,7.04,7.02,10.33,11.27,13.3,14.12,16.13,16.25,17.03,15.67,16.89,16.84,17.41,17.88,17.28,16.23,15.05,18.66,21.92,20.88,21.18,23.48,23.24,24.94,27.05,27.81,29.28,27.71
Lesotho,MtCO2e,1.39,1.45,1.5,1.54,1.58,1.61,1.64,1.67,1.71,1.72,1.75,1.77,1.8,1.82,1.87,1.9,1.92,1.96,2.01,2.1,2.16,2.21,2.28,2.29,2.31,2.23,2.27,2.44,2.57
